Source,Target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,38
0,39
0,40
0,41
0,42
0,45
0,46
0,48
0,49
0,50
0,51
0,52
0,55
0,57
0,58
0,61
0,62
0,64
0,67
0,70
0,71
0,72
0,75
0,78
0,81
0,82
0,83
0,84
0,85
0,91
0,95
0,99
0,100
0,101
0,109
0,114
0,115
0,121
0,130
0,132
0,133
0,134
0,137
0,141
0,142
0,144
0,149
0,153
0,154
0,155
0,156
0,157
0,162
0,164
0,167
0,171
0,176
0,180
0,183
0,184
0,194
0,196
0,201
0,202
0,204
0,206
0,210
0,215
0,223
0,227
0,233
0,240
0,247
0,248
0,250
0,253
0,257
0,258
0,262
0,265
0,266
0,289
0,290
0,292
0,294
0,297
0,301
0,307
0,311
0,316
0,347
0,348
0,349
0,351
0,353
0,357
0,362
0,369
0,380
0,385
0,386
0,388
0,393
0,397
0,407
0,412
0,413
0,414
0,417
0,420
0,430
0,432
0,433
0,436
0,449
0,460
0,475
0,476
0,478
0,492
0,496
0,510
0,513
0,521
0,529
0,533
0,539
0,540
0,543
0,545
0,547
0,556
0,559
0,566
0,569
0,575
0,579
0,591
0,593
0,616
0,617
0,629
0,642
0,659
0,662
0,668
0,670
0,675
0,676
0,684
0,685
0,687
0,693
0,714
0,719
0,721
0,723
0,726
0,734
0,735
0,737
0,749
0,765
0,768
0,787
0,789
0,790
0,793
0,797
0,801
0,802
0,804
0,806
0,824
0,826
0,830
0,838
0,839
0,853
0,861
0,862
0,866
0,883
0,888
0,895
0,917
0,927
0,934
0,940
0,957
0,959
0,979
0,982
0,990
0,991
0,992
0,1005
0,1047
0,1085
0,1087
0,1103
0,1119
0,1121
0,1143
0,1144
0,1151
0,1156
0,1172
0,1179
0,1180
0,1188
0,1194
0,1196
0,1199
0,1200
0,1220
0,1222
0,1231
0,1233
0,1249
0,1255
0,1268
0,1271
0,1273
0,1275
0,1285
0,1302
0,1308
0,1330
0,1339
0,1355
0,1360
0,1368
0,1371
0,1373
0,1383
0,1404
0,1426
0,1428
0,1435
0,1475
0,1483
0,1496
0,1498
0,1499
0,1525
0,1527
0,1531
0,1542
0,1551
0,1558
0,1562
0,1565
0,1612
0,1632
0,1640
0,1657
0,1667
0,1702
0,1710
0,1738
0,1746
0,1747
0,1751
0,1807
0,1813
0,1820
0,1822
0,1865
0,1882
0,1884
0,1886
0,1897
0,1930
0,1934
0,1956
0,1964
0,1974
0,1978
0,1992
0,1994
0,1997
0,2007
0,2017
0,2031
0,2044
0,2045
0,2050
0,2082
0,2089
0,2102
0,2107
0,2120
0,2126
0,2167
0,2187
0,2189
0,2193
0,2201
0,2220
0,2226
0,2232
0,2236
0,2262
0,2278
0,2296
0,2348
0,2361
0,2365
0,2374
0,2390
0,2401
0,2416
0,2432
0,2435
0,2475
0,2481
0,2499
0,2504
0,2513
0,2521
0,2534
0,2543
0,2547
0,2551
0,2599
0,2606
0,2619
0,2634
0,2638
0,2641
0,2681
0,2710
0,2721
0,2742
0,2743
0,2767
0,2785
0,2840
0,2851
0,2897
0,2913
0,2928
0,2937
0,2961
0,2968
0,3013
0,3030
0,3042
0,3045
0,3058
0,3127
0,3136
0,3163
0,3165
0,3198
0,3220
0,3245
0,3257
0,3306
0,3323
0,3370
0,3375
0,3409
0,3416
0,3421
0,3424
0,3444
0,3449
0,3455
0,3464
0,3473
0,3489
0,3501
0,3508
0,3512
0,3516
0,3535
0,3543
0,3546
0,3553
0,3570
0,3579
0,3596
0,3635
0,3636
0,3654
0,3671
0,3683
0,3697
0,3699
0,3725
0,3733
0,3735
0,3748
0,3749
0,3761
0,3779
0,3789
0,3804
0,3820
0,3839
0,3858
0,3864
0,3872
0,3873
0,3893
0,3897
0,3931
0,3940
0,3965
0,3998
0,4000
0,4006
0,4021
1,23
1,24
1,26
1,27
1,28
1,29
1,32
1,33
1,35
1,36
1,44
1,45
1,46
1,48
1,51
1,54
1,56
1,57
1,61
1,67
1,76
1,84
1,97
1,99
1,100
1,101
1,102
1,103
1,104
1,105
1,111
1,119
1,122
1,124
1,131
1,132
1,136
1,148
1,156
1,157
1,170
1,179
1,186
1,187
1,201
1,224
1,225
1,238
1,246
1,253
1,275
1,284
1,300
1,318
1,325
1,326
1,327
1,328
1,373
1,399
1,405
1,418
1,421
1,425
1,430
1,448
1,485
1,498
1,504
1,514
1,535
1,550
1,556
1,577
1,585
1,603
1,629
1,635
1,660
1,661
1,663
1,664
1,686
1,693
1,697
1,707
1,735
1,759
1,760
1,768
1,785
1,826
1,879
1,905
1,910
1,931
1,935
1,945
1,956
1,970
1,995
1,1018
1,1024
1,1028
1,1049
1,1064
1,1118
1,1123
1,1127
1,1131
1,1175
1,1183
1,1205
1,1235
1,1240
1,1264
1,1289
1,1319
1,1350
1,1369
1,1380
1,1420
1,1443
1,1454
1,1463
1,1492
1,1505
1,1512
1,1544
1,1548
1,1566
1,1603
1,1618
1,1624
1,1687
1,1734
1,1758
1,1768
1,1796
1,1817
1,1851
1,1859
1,1929
1,2010
1,2015
1,2077
1,2124
1,2138
1,2140
1,2150
1,2151
1,2153
1,2159
1,2162
1,2179
1,2235
1,2241
1,2266
1,2300
1,2339
1,2351
1,2376
1,2465
1,2484
1,2494
1,2498
1,2530
1,2559
1,2608
1,2689
1,2709
1,2743
1,2757
1,2760
1,2779
1,2881
1,2884
1,2901
1,2944
1,2967
1,3016
1,3039
1,3056
1,3084
1,3122
1,3131
1,3133
1,3181
1,3208
1,3264
1,3285
1,3312
1,3338
1,3341
1,3394
1,3427
1,3435
1,3463
1,3466
1,3490
1,3512
1,3534
1,3544
1,3609
1,3633
1,3756
1,3783
1,3789
1,3793
1,3902
1,3907
1,3929
1,3943
1,3968
1,3990
1,4000
2,23
2,24
2,25
2,26
2,27
2,28
2,29
2,31
2,33
2,35
2,39
2,47
2,48
2,50
2,53
2,59
2,60
2,67
2,68
2,70
2,71
2,84
2,85
2,95
2,104
2,117
2,118
2,122
2,130
2,133
2,136
2,144
2,149
2,153
2,162
2,167
2,174
2,177
2,178
2,198
2,208
2,212
2,229
2,234
2,258
2,262
2,270
2,292
2,356
2,358
2,365
2,370
2,396
2,417
2,429
2,436
2,461
2,481
2,496
2,508
2,551
2,585
2,630
2,646
2,656
2,695
2,710
2,745
2,756
2,771
2,795
2,879
2,893
2,899
2,907
2,909
2,915
2,920
2,939
2,947
2,956
2,969
2,1014
2,1016
2,1018
2,1096
2,1125
2,1151
2,1205
2,1215
2,1251
2,1289
2,1323
2,1324
2,1387
2,1389
2,1535
2,1547
2,1557
2,1560
2,1564
2,1565
2,1659
2,1661
2,1694
2,1731
2,1765
2,1769
2,1790
2,1794
2,1810
2,1911
2,1940
2,1952
2,1984
2,2030
