transaction_id,customer_id,transaction_date,amount,currency,payment_method,status,region,last_updated
T0001,C100,2026-01-05,120.50,EUR,card,completed,DE,2026-01-05
T0002,C101,2026/01/06,0,EUR,CARD,completed,de,2026-01-20
T0003,C102,06-01-2026,-35.00,USD,bank_transfer,completed,US,2026-01-07
T0004,,2026-01-07,250.00,EUR,card,pending,FR,2026-01-08
T0005,C104,2026-01-07,89.99,EURO,cash,completed,DE,2026-01-09
T0006,C105,2026-01-08,19.99,EUR,card,cancelled,DE,2026-04-15
T0006,C105,2026-01-08,19.99,EUR,card,cancelled,DE,2026-04-15
T0007,C106,2026-02-30,47.00,EUR,card,completed,DE,2026-02-15
T0008,C107,2026-01-10,1000000,EUR,card,completed,DE,2026-01-10
T0009,C108,2026-01-11,,EUR,bank_transfer,completed,NL,
T0010,C109,2026-01-11,52.10,EUR,,completed,NL,2026-01-11
