Source,Target
161797,36000
161797,521221
272396,38365
272396,476945
272396,477105
272396,513227
215057,38365
366610,55488
366610,246481
366610,377917
366610,470072
366610,483197
366610,483741
399385,38365
399385,175102
399385,431174
399385,458358
516125,24139
516125,62917
516125,175102
516125,437385
380964,223526
380964,264950
380964,372196
380964,458358
159787,170649
159787,222939
159787,441404
22571,40504
22571,123777
22571,458358
274481,84171
274481,109245
274481,316571
274481,382281
100402,87301
100402,87937
100402,364334
100402,378954
100402,399899
100402,410827
100402,462362
30774,350949
456759,38365
456759,275815
456759,458358
321592,262533
321592,354089
321592,391705
321592,391825
321592,431149
321592,463742
112698,252127
112698,458358
344122,175102
344122,256441
344122,260593
344122,320058
344122,439894
344122,458358
256059,66665
256059,458358
256059,473222
260157,38365
319549,175102
163906,40504
163906,107652
163906,123777
163906,133084
163906,225232
163906,458358
399429,38365
399429,187308
67654,458358
378954,40745
378954,87301
378954,87937
378954,106099
378954,230494
378954,233448
378954,364334
378954,399899
378954,410827
378954,462362
378954,473053
22603,128754
22603,161455
22603,224964
22603,389855
215114,1302
215114,420956
215114,458358
272464,97672
272464,128754
272464,161455
272464,224964
331866,350949
528474,38365
528474,426630
104540,38365
104540,401782
98398,37981
98398,38365
331872,175102
331872,307000
331872,372584
331872,418742
331872,420290
331872,458358
512097,83246
512097,123573
512097,332241
512097,358149
512097,399102
141408,51350
141408,422127
141408,458358
452705,113064
452705,458358
274532,458358
487525,111624
487525,447440
487525,458358
487525,498702
413798,51350
413798,392722
413798,420839
413798,458358
155749,487915
317552,35910
317552,38365
317552,175102
317552,225404
317552,239205
317552,397980
317552,458358
61552,458358
493683,458358
381047,1302
381047,120547
381047,311544
381047,363028
381047,392722
381047,413268
381047,439376
381047,458358
381047,468322
381047,478737
381047,542515
458873,138688
225404,38365
225404,454206
120958,37981
120958,410151
120958,413268
120958,457573
120958,458358
145536,489457
356481,279493
356481,458358
395395,128754
368772,48190
368772,72813
368772,73695
368772,82677
368772,382420
368772,441577
368772,521394
71814,251046
176262,38365
176262,75913
354439,112039
354439,298562
354439,458358
57481,13325
57481,88739
57481,130687
57481,218109
57481,335795
57481,397050
57481,414755
57481,487146
139401,146598
139401,458358
473222,37981
473222,66004
473222,95447
473222,278240
473222,372456
473222,386439
473222,410151
473222,449234
473222,458358
446604,222074
446604,249568
446604,458358
61581,214133
61581,230841
61581,247604
61581,519284
75913,57240
75913,149824
75913,443411
75913,521221
473233,183095
61588,1842
61588,48190
61588,50756
61588,50835
61588,87226
61588,159604
61588,166784
61588,192366
61588,197303
61588,230200
61588,276228
61588,317978
61588,389484
61588,445311
61588,449256
18580,149824
18580,521221
432278,183095
51350,15209
51350,31227
51350,120451
51350,123777
51350,160359
51350,223526
51350,275218
51350,301711
51350,453233
51350,458358
51350,465049
465049,15209
465049,24139
465049,107172
465049,352582
465049,458358
374937,210919
465050,37981
465050,458358
192668,30049
192668,184203
192668,285769
192668,297964
192668,328968
153760,4910
153760,208161
153760,219358
77985,50835
77985,445311
77985,522711
4258,253667
4258,366155
4258,547692
32931,66156
32931,175102
32931,420290
32931,439836
32931,458358
198820,205901
45221,38365
45221,109693
420006,23511
420006,26025
420006,68409
420006,161550
313505,458358
340136,222939
340136,312632
510113,48978
510113,57240
510113,149824
510113,521221
436395,5703
436395,306687
436395,367598
319662,458358
319662,498702
387247,38365
387247,456575
319667,458358
297141,37981
297141,386439
297141,410151
297141,458358
282810,458358
67770,288672
67770,462312
67770,462447
536773,97672
536773,128754
536773,161455
536773,222939
536773,224964
450758,48190
450758,382420
450758,521394
100560,458358
422099,130718
422099,306602
422099,309807
422099,342234
422099,380862
422099,443151
422099,491407
6359,175102
205016,222939
149719,458358
342234,50870
342234,64317
342234,247762
342234,309807
291035,38365
291035,150570
291035,397980
291035,498702
55516,215697
55516,306602
192732,458358
219358,9338
219358,56267
219358,58064
219358,128754
219358,161443
219358,205901
219358,221771
219358,234014
219358,251046
219358,281173
219358,335795
219358,351977
219358,353053
219358,382215
219358,419373
219358,448376
219358,482279
219358,511715
219358,522711
219358,527657
252127,56709
252127,440877
252127,458358
252127,512270
280791,458358
229602,298058
295138,38365
354533,175102
354533,193522
354533,462312
458986,3032
458986,321151
458986,380862
458986,470072
458986,522711
108782,38365
422127,37981
422127,54001
422127,74298
422127,103608
422127,267899
422127,397062
422127,410151
422127,449234
422127,458358
211185,130258
211185,158306
211185,213814
211185,321151
252147,58064
252147,252645
252147,253450
252147,521221
389365,429444
389365,527657
516344,38365
516344,284646
516344,292448
516344,303628
516344,368244
30969,27965
30969,277301
495866,38365
495866,273226
55547,95281
55547,175102
55547,495239
499964,38365
499964,346747
499964,458358
49400,37981
49400,51192
49400,66665
49400,145895
49400,165840
49400,216944
49400,248679
49400,252672
49400,380528
49400,420839
49400,457098
49400,458358
49400,493323
311544,133084
311544,215500
311544,454231
311544,458358
215294,531902
196858,57240
196858,521221
98561,272048
98561,458358
499972,56709
499972,66004
499972,195216
499972,458358
344326,30049
344326,145875
344326,164581
344326,184203
358663,37981
358663,410151
358663,458358
151815,62712
151815,156600
151815,253450
219401,130258
219401,158306
219401,170872
219401,210919
227597,36000
227597,38365
227597,146598
227597,164754
227597,222596
227597,296569
227597,458358
512270,38365
512270,458358
536849,30049
194835,298058
172308,458358
327957,3032
327957,33510
